Advertiser_ID,Advertiser_Name,Public_IDs_List,Regions,Elections,Total_Creatives,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
AR156845883458060288,NEWS FOR DEMOCRACY,EIN ID 83-1737240,US,US-Federal,1,43200,38050,3065500,75225,285800,989000,287000,12307500,165100,182850,400500,32850
AR157010260446412800,JESSICA MORSE FOR CONGRESS,FEC ID C00650408,US,US-Federal,13,3800,3350,268500,6575,25000,87000,25000,1080000,14500,15975,35250,2900
AR157291735423123456,NRCC,FEC ID C00075820,US,US-Federal,1203,3198800,2814950,226828250,5565950,21144200,73189000,21240000,910575000,12219500,13530975,29652750,2431100
AR158243912492777472,JOHNSON FOR CONGRESS,FEC ID C00476820,US,US-Federal,62,20200,17750,1432000,35150,133500,462000,134000,5745000,77100,85425,187500,15350
AR158417635329966080,PATIENTS FOR AFFORDABLE DRUGS ACTION,FEC ID 275129182,US,US-Federal,1,25500,22500,1811750,44450,168900,585000,169500,7275000,97600,108075,237000,19400
AR158424507277639680,Lega per Salvini Premier,,"EU, IT",EU-Parliament,38,62000,54600,4397750,107925,409900,1419000,412000,17655000,236900,262350,575250,47150
AR158754085888065536,CARTWRIGHT FOR CONGRESS,FEC ID C00509968,US,US-Federal,8,4300,3800,307000,7525,28600,99000,28500,1230000,16500,18300,40500,3300
AR159188942736850944,HUNT FOR CONGRESS,FEC ID C00701003,US,US-Federal,1,700,650,51000,1250,4800,16000,5000,202500,2700,3075,6750,550
AR159365964108922880,DEFENDING DEMOCRACY TOGETHER,EIN ID 82-3877328,US,US-Federal,10,14200,12450,1003500,24625,93500,324000,94000,4027500,54100,59850,131250,10750
AR159631771044937728,Studio Montrucchio Capello snc,,"EU, IT",EU-Parliament,8,900,750,61500,1500,5700,20000,6000,247500,3300,3675,8250,650
